,Caso X,D,L,Beta,Velocidad,Angulo,A,B,Q,Reynolds,TotalAreaInlet,P
138,Caso 5,0.04,1.1,0.6,0.20528657715354992,-145,84302853.90129061,-1332503919825.0671,6.434656726354038e-05,-1229.421298118951,0.00031298876267923,84.58253714980296
139,Caso 5,0.04,1.1,0.6,0.20473328365169477,170,22848046.837559976,-365328001969.9031,6.417020855266145e-05,-1226.1077311789034,0.00031298876267923,35.936334063463754
140,Caso 5,0.04,1.1,0.6,0.20508052438737526,-170,-155363975.80446106,2413939217548.8477,6.434588601502164e-05,-1228.1872882641226,0.00031298876267923,30.537940335367885
141,Caso 6,0.04,1.3,0.6,0.20504485111862536,0,-707892993.0898778,11035535143219.4,6.42854986026852e-05,-1227.9679513625279,0.0003129858587362686,20.664972988112925
142,Caso 6,0.04,1.3,0.6,0.20494940638250844,120,-141381546.791309,2176399217090.5674,6.433000814829258e-05,-1227.4020480892154,0.00031298876267923,120.73143961532529
143,Caso 6,0.04,1.3,0.6,0.20494166189835575,-120,9152151.327326182,-172413198120.30118,6.421963916185118e-05,-1227.3556678831044,0.00031298876267923,112.7680063459227
144,Caso 6,0.04,1.3,0.6,0.20474811190714884,145,-179759195.1616094,2790028756817.7344,6.414442706401722e-05,-1226.196534710639,0.00031298876267923,74.9519093929484
145,Caso 6,0.04,1.3,0.6,0.2052053850300297,-145,-14059273.629384099,199882641201.63614,6.431309041328296e-05,-1228.9350543163637,0.00031298876267923,71.15765150601506
146,Caso 6,0.04,1.3,0.6,0.20502524073043052,170,9025012.630399862,-149066527119.20657,6.424853837759526e-05,-1227.856205218031,0.00031298876267923,28.347615602870146
147,Caso 6,0.04,1.3,0.6,0.20502154469195072,-170,-32528645.127208155,499003297073.53955,6.429862692275806e-05,-1227.834070363971,0.00031298876267923,27.259969922982613
148,Caso 7,0.04,0.9,1.0,0.20508244485208638,0,-69604109.07737526,1078008282227.4498,6.43253369772101e-05,-1228.1930918603766,0.0003129858587362685,27.01165416609975
149,Caso 7,0.04,0.9,1.0,0.2047892306727608,120,-322638593.02482593,5009748984901.527,6.424376693701547e-05,-1226.442786983421,0.00031298876267923,119.96295531628974
150,Caso 7,0.04,0.9,1.0,0.20451201896019078,-120,14384464.961716179,-255786310636.5999,6.407856090437021e-05,-1224.7826200682375,0.00031298876267923,123.8018357842252
151,Caso 7,0.04,0.9,1.0,0.2057133749287746,145,-187347417.71930698,2894163510459.1226,6.443918923088043e-05,-1231.9773068075197,0.00031298876267923,85.85924253696757
152,Caso 7,0.04,0.9,1.0,0.20505526509857594,-145,297678001.67411417,-4665287404559.721,6.428483226104708e-05,-1228.0360153067973,0.00031298876267923,91.12853103586517
153,Caso 7,0.04,0.9,1.0,0.20518685147633225,170,-19160005.89387264,289747550698.8263,6.428898424545604e-05,-1228.8240604756488,0.00031298876267923,29.641526746974343
154,Caso 7,0.04,0.9,1.0,0.2052005852905828,-170,10772710.067844728,-177017231611.52417,6.435644541343983e-05,-1228.9063096123346,0.00031298876267923,30.533673463913953
155,Caso 8,0.04,1.1,1.0,0.20514247545697442,0,-195749483.53305086,3043557686533.081,6.442027951140104e-05,-1228.5526017846746,0.00031298585873626835,24.77250992283621
156,Caso 8,0.04,1.1,1.0,0.20500409314488285,-120,137669802.54478407,-2179796495558.4897,6.426747689898065e-05,-1227.7295564500664,0.00031298876267923,125.64042909100922
157,Caso 8,0.04,1.1,1.0,0.2051186924031026,145,-109346943.93474767,1685274421657.668,6.429942569086402e-05,-1228.415869070977,0.00031298876267923,79.62347311507004
